name	methane	ethane	propane	butane	pentane	hexane	cyclohexane	benzene	toluene	ethylbenzene	styrene	phenol	aniline	naphthalene	anthracene	acetic_acid	ethanol	methanol	acetone	methylamine	pyridine	pyrimidine	pyrazine	imidazole	thiophene	furan	indole	benzimidazole	purine	quinoline	isoquinoline	pyrrole	oxazole	thiazole	pyrazole	triazole_1H	tetrazole	aspirin	ibuprofen	paracetamol	caffeine	morphine	codeine	warfarin	lidocaine	diazepam	metformin	atorvastatin	methotrexate	sildenafil
pyridine	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.333333	0.176471	0.150000	0.150000	0.176471	0.176471	0.133333	0.117647	0.066667	0.000000	0.090909	0.000000	0.000000	1.000000	0.500000	0.500000	0.222222	0.133333	0.133333	0.083333	0.120000	0.111111	0.181818	0.238095	0.133333	0.222222	0.222222	0.222222	0.200000	0.100000	0.100000	0.062500	0.035714	0.062500	0.022222	0.021277	0.062500	0.055556	0.093023	0.000000	0.044776	0.046875	0.029412
pyrimidine	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.200000	0.111111	0.095238	0.095238	0.111111	0.111111	0.133333	0.117647	0.000000	0.000000	0.000000	0.000000	0.000000	0.500000	1.000000	0.363636	0.222222	0.133333	0.133333	0.083333	0.120000	0.153846	0.181818	0.238095	0.133333	0.222222	0.222222	0.222222	0.200000	0.157895	0.064516	0.030303	0.035714	0.062500	0.022222	0.021277	0.030303	0.055556	0.068182	0.000000	0.044776	0.030769	0.029412
pyrazine	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.125000	0.062500	0.052632	0.052632	0.062500	0.062500	0.076923	0.066667	0.000000	0.000000	0.000000	0.000000	0.000000	0.500000	0.363636	1.000000	0.266667	0.076923	0.076923	0.045455	0.086957	0.125000	0.150000	0.210526	0.076923	0.187500	0.266667	0.187500	0.250000	0.117647	0.034483	0.033333	0.040000	0.068966	0.023810	0.022727	0.033333	0.029412	0.047619	0.000000	0.015152	0.032258	0.030769
imidazole	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.066667	0.043478	0.038462	0.038462	0.043478	0.043478	0.050000	0.045455	0.000000	0.000000	0.000000	0.000000	0.000000	0.222222	0.222222	0.266667	1.000000	0.050000	0.050000	0.111111	0.142857	0.172414	0.111111	0.153846	0.235294	0.130435	0.181818	0.238095	0.222222	0.130435	0.027778	0.027027	0.031250	0.085714	0.041667	0.040000	0.027027	0.024390	0.062500	0.000000	0.013699	0.028986	0.057143
thiophene	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.222222	0.117647	0.100000	0.100000	0.117647	0.117647	0.142857	0.125000	0.000000	0.000000	0.000000	0.000000	0.000000	0.133333	0.133333	0.076923	0.050000	1.000000	0.142857	0.086957	0.080000	0.035714	0.086957	0.086957	0.142857	0.105263	0.235294	0.105263	0.062500	0.050000	0.066667	0.031250	0.037037	0.031250	0.022727	0.021739	0.031250	0.057143	0.045455	0.000000	0.029851	0.015385	0.029851
furan	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.222222	0.117647	0.100000	0.100000	0.117647	0.117647	0.142857	0.125000	0.000000	0.000000	0.000000	0.000000	0.000000	0.133333	0.133333	0.076923	0.050000	0.142857	1.000000	0.086957	0.080000	0.035714	0.086957	0.086957	0.142857	0.235294	0.050000	0.105263	0.062500	0.050000	0.066667	0.031250	0.037037	0.031250	0.046512	0.044444	0.031250	0.057143	0.045455	0.000000	0.029851	0.031250	0.014706
indole	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.052632	0.111111	0.217391	0.192308	0.192308	0.217391	0.217391	0.388889	0.350000	0.000000	0.000000	0.000000	0.000000	0.000000	0.083333	0.083333	0.045455	0.111111	0.086957	0.086957	1.000000	0.333333	0.151515	0.259259	0.259259	0.190476	0.071429	0.034483	0.153846	0.083333	0.071429	0.138889	0.076923	0.088235	0.050000	0.080000	0.076923	0.076923	0.095238	0.122449	0.000000	0.068493	0.056338	0.098592
benzimidazole	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.100000	0.200000	0.178571	0.178571	0.200000	0.200000	0.227273	0.208333	0.000000	0.000000	0.000000	0.000000	0.000000	0.120000	0.120000	0.086957	0.142857	0.080000	0.080000	0.333333	1.000000	0.333333	0.333333	0.200000	0.125000	0.103448	0.066667	0.142857	0.120000	0.103448	0.131579	0.073171	0.083333	0.100000	0.056604	0.054545	0.073171	0.090909	0.117647	0.000000	0.081081	0.069444	0.095890
purine	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.043478	0.066667	0.060606	0.060606	0.066667	0.066667	0.074074	0.068966	0.000000	0.000000	0.000000	0.000000	0.000000	0.111111	0.153846	0.125000	0.172414	0.035714	0.035714	0.151515	0.333333	1.000000	0.117647	0.151515	0.074074	0.062500	0.133333	0.096774	0.111111	0.133333	0.046512	0.045455	0.051282	0.095238	0.035714	0.034483	0.045455	0.041667	0.053571	0.000000	0.025000	0.082192	0.064935
quinoline	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.111111	0.217391	0.192308	0.192308	0.217391	0.217391	0.388889	0.350000	0.000000	0.000000	0.000000	0.000000	0.000000	0.181818	0.181818	0.150000	0.111111	0.086957	0.086957	0.259259	0.333333	0.117647	1.000000	0.360000	0.086957	0.153846	0.111111	0.153846	0.130435	0.071429	0.138889	0.076923	0.088235	0.105263	0.058824	0.056604	0.076923	0.095238	0.122449	0.000000	0.083333	0.086957	0.083333
