name	rdMW	chMW	rdLogP	chLogP	rdTPSA	chTPSA	rdHAC	chHAC	rdHBD	chHBD	rdHBA	chHBA
phthalic_acid	166.1320	166.1320	1.0830	1.0554	74.6000	74.6000	12	12	2	2	2	4
isophthalic_acid	166.1320	166.1320	1.0830	1.0554	74.6000	74.6000	12	12	2	2	2	4
n_methylaniline	107.1560	107.1560	1.7283	0.2578	12.0300	12.0300	8	8	1	1	1	1
diphenylamine	169.2270	169.2270	3.4302	1.2104	12.0300	12.0300	13	13	1	1	1	1
triphenylamine	245.3250	245.3250	5.1564	2.1132	3.2400	3.2400	19	19	0	0	1	1
4_aminophenol	109.1280	109.1280	0.9744	0.2875	46.2500	46.2500	8	8	2	2	2	2
4_nitrophenol	139.1100	139.1100	1.3004	0.8496	63.3700	32.7000	10	10	1	1	3	4
tetralin	132.2060	132.2060	2.5654	0.3362	0.0000	0.0000	10	10	0	0	0	0
decalin	138.2540	138.2540	3.3668	-1.4670	0.0000	0.0000	10	10	0	0	0	0
coumarin	146.1450	146.1450	1.7930	1.3333	30.2100	30.2100	11	11	0	0	2	2
chromone	146.1450	146.1450	1.7930	1.3333	30.2100	30.2100	11	11	0	0	2	2
xanthene	182.2220	182.2220	3.3831	1.7523	9.2300	9.2300	14	14	0	0	1	1
acridine	179.2220	179.2220	3.3880	2.1359	12.8900	12.8900	14	14	0	0	1	1
carbazole	167.2110	167.2110	3.3211	1.9918	15.7900	13.9700	13	13	1	1	0	1
dibenzofuran	168.1950	168.1950	3.5860	1.6104	13.1400	13.1400	13	13	0	0	1	1
dibenzothiophene	184.2630	184.2610	4.0545	1.7292	28.2400	28.2400	13	13	0	0	1	0
fluorene	166.2230	166.2230	3.2578	1.5971	0.0000	0.0000	13	13	0	0	0	0
fluoranthene	202.2560	202.2560	4.5840	2.3056	0.0000	0.0000	16	16	0	0	0	0
pyrene	202.2560	202.2560	4.5840	2.3056	0.0000	0.0000	16	16	0	0	0	0
triphenylene	178.2340	178.2340	3.9930	2.0174	0.0000	0.0000	14	14	0	0	0	0
piperazine	86.1380	86.1380	-0.8208	-1.5660	24.0600	24.0600	6	6	2	2	2	2
morpholine	87.1220	87.1220	-0.3938	-0.8920	21.2600	21.2600	6	6	1	1	2	2
n_methylpiperazine	100.1650	100.1650	-0.4786	-1.6158	15.2700	15.2700	7	7	1	1	2	2
n_boc_piperazine	186.2550	186.2550	0.8267	-1.8999	41.5700	41.5700	13	13	1	1	3	4
piperidine	85.1500	85.1500	0.7599	-1.1793	12.0300	12.0300	6	6	1	1	1	1
pyrrolidine	71.1230	71.1230	0.3698	-1.0472	12.0300	12.0300	5	5	1	1	1	1
azetidine	57.0960	57.0960	-0.0203	-0.9151	12.0300	12.0300	4	4	1	1	1	1
oxetane	58.0800	58.0800	0.4067	-0.2411	9.2300	9.2300	4	4	0	0	1	1
thietane	74.1480	74.1460	1.1233	-0.1531	25.3000	25.3000	4	4	0	0	1	0
tetrahydrofuran	72.1070	72.1070	0.7968	-0.3732	9.2300	9.2300	5	5	0	0	1	1
tetrahydrothiophene	88.1750	88.1730	1.5134	-0.2852	25.3000	25.3000	5	5	0	0	1	0
tetrahydropyran	86.1340	86.1340	1.1869	-0.5053	9.2300	9.2300	6	6	0	0	1	1
1_4_dioxane	88.1060	88.1060	0.0332	-0.2180	18.4600	18.4600	6	6	0	0	2	2
nicotine	162.2360	162.2360	1.8483	-0.1869	16.1300	16.1300	12	12	0	0	2	2
quinine	310.3970	310.3970	2.9272	-0.2051	45.5900	45.5900	23	23	1	1	4	4
capsaicin	305.4180	305.4180	3.7896	-0.8286	58.5600	58.5600	22	22	2	2	3	4
resveratrol	228.2470	228.2470	2.9738	1.8994	60.6900	60.6900	17	17	3	3	3	3
quercetin	302.2380	302.2380	1.9880	2.9739	131.3600	131.3600	22	22	5	5	7	7
curcumin	368.3850	368.3850	3.3699	1.3315	93.0600	93.0600	27	27	2	2	6	6
penicillin_G	291.3720	291.3700	1.7871	-0.4641	82.9100	82.9100	20	20	1	1	3	4
ampicillin	321.4020	321.4000	1.3849	-1.7882	120.9600	120.9600	22	22	3	3	4	6
adenine	135.1300	135.1300	-0.0649	1.0386	80.4800	78.6600	10	10	2	2	4	5
guanine	151.1290	151.1290	-0.7716	1.1938	100.4500	96.8100	11	11	3	3	4	6
cytosine	111.1040	111.1040	-0.6479	0.5245	71.7700	69.9500	8	8	2	2	3	4
uracil	112.0880	112.0880	-0.9368	1.4120	65.7200	62.0800	8	8	2	2	2	4
hypoxanthine	136.1140	136.1140	-0.3538	1.9261	74.4300	70.7900	10	10	2	2	3	5
xanthine	152.1130	152.1130	-1.0605	2.0813	94.4000	88.9400	11	11	3	3	3	6
ethylene_glycol	62.0680	62.0680	-1.0290	0.0462	40.4600	40.4600	4	4	2	2	2	2
glycerol	92.0940	92.0940	-1.6681	-0.0037	60.6900	60.6900	6	6	3	3	3	3
propylene_glycol	76.0950	76.0950	-0.6405	-0.1148	40.4600	40.4600	5	5	2	2	2	2
catechol	110.1120	110.1120	1.0978	1.1750	40.4600	40.4600	8	8	2	2	2	2
resorcinol	110.1120	110.1120	1.0978	1.1750	40.4600	40.4600	8	8	2	2	2	2
hydroquinone	110.1120	110.1120	1.0978	1.1750	40.4600	40.4600	8	8	2	2	2	2
salicylic_acid	138.1220	138.1220	1.0904	1.1152	57.5300	57.5300	10	10	2	2	2	3
vanillin	152.1490	152.1490	1.2133	1.0945	46.5300	46.5300	11	11	1	1	3	3
eugenol	164.2040	164.2040	2.1293	0.6595	29.4600	29.4600	12	12	1	1	2	2
safrol	162.1880	162.1880	2.1438	0.6154	18.4600	18.4600	12	12	0	0	2	2
epinephrine	183.2070	183.2070	0.3506	0.3862	72.7200	72.7200	13	13	4	4	4	4
dopamine	153.1810	153.1810	0.5990	0.1785	66.4800	66.4800	11	11	3	3	3	3
serotonin	176.2190	176.2190	1.3747	0.5741	62.0400	60.2200	13	13	3	3	2	3
melatonin	232.2830	232.2830	1.8551	0.5518	54.1200	52.3000	17	17	2	2	2	4
histamine	111.1480	111.1480	-0.0891	-0.0390	54.7000	52.8800	8	8	2	2	2	3
putrescine	88.1540	88.1540	-0.3160	-1.9930	52.0400	52.0400	6	6	2	2	2	2
spermidine	145.2500	145.2500	-0.3363	-2.9081	64.0700	64.0700	10	10	3	3	3	3
folic_acid	441.4040	441.4040	-0.0448	0.6945	213.2800	211.4600	32	32	6	6	9	13
riboflavin	376.3690	376.3690	-1.7236	2.3671	161.5600	167.7000	27	27	5	5	9	10
pyridoxine	169.1800	169.1800	0.0802	1.0965	73.5800	73.5800	12	12	3	3	4	4
thiamine	250.3470	250.3450	1.0255	1.3794	78.1300	87.1400	17	17	1	1	4	4
