name	smiles	mw	logp	tpsa	hac	hbd	hba
fluorene	C1c2ccccc2-c2ccccc21	166.2230	3.2578	0.0000	13	0	0
fluoranthene	c1ccc2ccc3cccc4ccc1c2c34	202.2560	4.5840	0.0000	16	0	0
pyrene	c1cc2ccc3cccc4ccc(c1)c2c34	202.2560	4.5840	0.0000	16	0	0
triphenylene	c1ccc2ccc3ccccc3c2c1	178.2340	3.9930	0.0000	14	0	0
piperazine	C1CNCCN1	86.1380	-0.8208	24.0600	6	2	2
morpholine	C1CNCCO1	87.1220	-0.3938	21.2600	6	1	2
n_methylpiperazine	CN1CCNCC1	100.1650	-0.4786	15.2700	7	1	2
n_boc_piperazine	O=C(OC(C)(C)C)N1CCNCC1	186.2550	0.8267	41.5700	13	1	3
piperidine	C1CCNCC1	85.1500	0.7599	12.0300	6	1	1
pyrrolidine	C1CCNC1	71.1230	0.3698	12.0300	5	1	1
azetidine	C1CNC1	57.0960	-0.0203	12.0300	4	1	1
oxetane	C1COC1	58.0800	0.4067	9.2300	4	0	1
thietane	C1CSC1	74.1480	1.1233	25.3000	4	0	1
tetrahydrofuran	C1CCOC1	72.1070	0.7968	9.2300	5	0	1
tetrahydrothiophene	C1CCSC1	88.1750	1.5134	25.3000	5	0	1
tetrahydropyran	C1CCOCC1	86.1340	1.1869	9.2300	6	0	1
1_4_dioxane	C1COCCO1	88.1060	0.0332	18.4600	6	0	2
nicotine	CN1CCC[C@H]1c1cccnc1	162.2360	1.8483	16.1300	12	0	2
quinine	COc1ccc2nccc(C(O)C3CC4CCN3CC4=C)c2c1	310.3970	2.9272	45.5900	23	1	4
capsaicin	COc1cc(CNC(=O)CCCC/C=C/C(C)C)ccc1O	305.4180	3.7896	58.5600	22	2	3
resveratrol	Oc1ccc(/C=C/c2cc(O)cc(O)c2)cc1	228.2470	2.9738	60.6900	17	3	3
quercetin	O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12	302.2380	1.9880	131.3600	22	5	7
curcumin	COc1cc(/C=C/C(=O)CC(=O)/C=C/c2ccc(O)c(OC)c2)ccc1O	368.3850	3.3699	93.0600	27	2	6
penicillin_G	O=C(O)[C@@H]1[C@H]2SC(C)(C)[C@@H]2N1C(=O)Cc1ccccc1	291.3720	1.7871	82.9100	20	1	3
ampicillin	N[C@@H](c1ccccc1)C(=O)N[C@H]2[C@@H]3SC(C)(C)[C@H]3N2C(=O)O	321.4020	1.3849	120.9600	22	3	4
adenine	Nc1ncnc2[nH]cnc12	135.1300	-0.0649	80.4800	10	2	4
guanine	Nc1nc2[nH]cnc2c(=O)[nH]1	151.1290	-0.7716	100.4500	11	3	4
cytosine	Nc1ccnc(=O)[nH]1	111.1040	-0.6479	71.7700	8	2	3
uracil	O=c1cc[nH]c(=O)[nH]1	112.0880	-0.9368	65.7200	8	2	2
hypoxanthine	O=c1[nH]cnc2[nH]cnc12	136.1140	-0.3538	74.4300	10	2	3
xanthine	O=c1[nH]c2[nH]cnc2c(=O)[nH]1	152.1130	-1.0605	94.4000	11	3	3
ethylene_glycol	OCCO	62.0680	-1.0290	40.4600	4	2	2
glycerol	OCC(O)CO	92.0940	-1.6681	60.6900	6	3	3
propylene_glycol	CC(O)CO	76.0950	-0.6405	40.4600	5	2	2
catechol	Oc1ccccc1O	110.1120	1.0978	40.4600	8	2	2
resorcinol	Oc1cccc(O)c1	110.1120	1.0978	40.4600	8	2	2
hydroquinone	Oc1ccc(O)cc1	110.1120	1.0978	40.4600	8	2	2
salicylic_acid	OC(=O)c1ccccc1O	138.1220	1.0904	57.5300	10	2	2
vanillin	COc1cc(C=O)ccc1O	152.1490	1.2133	46.5300	11	1	3
eugenol	C=CCc1ccc(O)c(OC)c1	164.2040	2.1293	29.4600	12	1	2
safrol	C=CCc1ccc2c(c1)OCO2	162.1880	2.1438	18.4600	12	0	2
epinephrine	CNC[C@@H](O)c1ccc(O)c(O)c1	183.2070	0.3506	72.7200	13	4	4
dopamine	NCCc1ccc(O)c(O)c1	153.1810	0.5990	66.4800	11	3	3
serotonin	NCCc1c[nH]c2ccc(O)cc12	176.2190	1.3747	62.0400	13	3	2
melatonin	COc1ccc2[nH]cc(CCNC(C)=O)c2c1	232.2830	1.8551	54.1200	17	2	2
histamine	NCCc1c[nH]cn1	111.1480	-0.0891	54.7000	8	2	2
putrescine	NCCCCN	88.1540	-0.3160	52.0400	6	2	2
spermidine	NCCCNCCCCN	145.2500	-0.3363	64.0700	10	3	3
folic_acid	Nc1nc2ncc(CNc3ccc(cc3)C(=O)N[C@@H](CCC(=O)O)C(=O)O)nc2c(=O)[nH]1	441.4040	-0.0448	213.2800	32	6	9
riboflavin	Cc1cc2nc3c(=O)[nH]c(=O)nc3n(C[C@H](O)[C@H](O)[C@H](O)CO)c2cc1C	376.3690	-1.7236	161.5600	27	5	9
pyridoxine	Cc1ncc(CO)c(CO)c1O	169.1800	0.0802	73.5800	12	3	4
thiamine	Cc1ncc(C[n+]2csc(CCO)c2C)cn1	250.3470	1.0255	78.1300	17	1	4
