name,smiles,mw,logp,tpsa,hbd,hba,qed,lipinski_passes,pains_passes,brenk_passes,bbb_penetrant,caco2_high,herg_risk,cyp3a4_risk
aspirin,OC(=O)c1ccccc1OC(=O)C,180.16,1.31,63.6,1,3,0.563,True,True,False,True,,0.0,0.0
ibuprofen,C(Cc1ccc(cc1)CC(C(=O)O)C)(C)C,220.31,3.15,37.3,1,1,0.813,True,True,False,True,,0.15,0.15
caffeine,c12c(=O)n(c(n(c1ncn2C)C)=O)C,194.19,-1.03,61.8,0,3,0.538,True,True,True,False,,0.0,0.3
paracetamol,c1(ccc(cc1)NC(=O)C)O,151.16,1.35,49.3,2,2,0.595,True,True,False,True,,0.0,0.0
verapamil,c2cc(cc(c2OC)OC)CCN(C)CCCC(C(C)C)(c1ccc(OC)c(OC)c1)C#N,454.61,5.09,64.0,0,6,0.42,False,True,False,True,,0.8999999999999999,0.6000000000000001
erythromycin,C1(C)(O)C(C(OC(=O)C1CC(OC)CC(O)C(C)C(OC3OC(C)CC(OC)C3O)C(C)OC2OC(C)CC(N(C)C)C2)CC)O,663.85,1.6,165.8,4,13,0.187,False,True,False,False,,0.6000000000000001,0.45
